Question,Score
bonjour,0.5029054284095764
شنو هما الوثائق,0.5702947378158569
salam 3alikom,0.5448510646820068
la date d inscription,0.646271288394928
où se trouvent les résultats de,0.6280129551887512
الزماني ديال الاثنين الصباح,0.6325258016586304
الجدول ديال 2 الصباح,0.5365043878555298
الجدول ديال  الصباح,0.6304240226745605
اوقات ديال القرايه ديال,0.46082350611686707
salam aleykoum,0.40728962421417236
